,Lat,Lon,Ele,YR--MODAHRMN,DIR,SPD,GUS,TEMP,ALT
0,60.717,28.733,13.0,196801010000,060,5,***,1,*****
1,60.717,28.733,13.0,196801010300,050,2,***,3,*****
2,60.717,28.733,13.0,196801010600,050,2,***,5,*****
3,60.717,28.733,13.0,196801010900,020,2,***,7,*****
4,60.717,28.733,13.0,196801011200,020,5,***,9,*****
5,60.717,28.733,13.0,196801011500,050,5,***,9,*****
6,60.717,28.733,13.0,196801011800,070,2,***,10,*****
7,60.717,28.733,13.0,196801012100,***,0,***,12,*****
8,60.717,28.733,13.0,196801020000,***,0,***,12,*****
9,60.717,28.733,13.0,196801020300,140,5,***,14,*****
10,60.717,28.733,13.0,196801020600,***,0,***,14,*****
11,60.717,28.733,13.0,196801020900,050,5,***,14,*****
12,60.717,28.733,13.0,196801021200,050,5,***,14,*****
13,60.717,28.733,13.0,196801021500,090,5,***,16,*****
14,60.717,28.733,13.0,196801021800,090,5,***,16,*****
15,60.717,28.733,13.0,196801022100,050,5,***,18,*****
16,60.717,28.733,13.0,196801030000,050,5,***,21,*****
17,60.717,28.733,13.0,196801030300,050,9,***,18,*****
18,60.717,28.733,13.0,196801030600,050,9,***,16,*****
19,60.717,28.733,13.0,196801030900,050,9,***,14,*****
20,60.717,28.733,13.0,196801031200,050,9,***,10,*****
21,60.717,28.733,13.0,196801031500,050,9,***,9,*****
22,60.717,28.733,13.0,196801031800,050,5,***,10,*****
23,60.717,28.733,13.0,196801032100,050,7,***,14,*****
24,60.717,28.733,13.0,196801040000,050,7,***,16,*****
25,60.717,28.733,13.0,196801040300,050,9,***,14,*****
26,60.717,28.733,13.0,196801040600,050,9,***,12,*****
27,60.717,28.733,13.0,196801040900,360,7,***,10,*****
28,60.717,28.733,13.0,196801041200,360,9,***,9,*****
29,60.717,28.733,13.0,196801041500,360,7,***,1,*****
30,60.717,28.733,13.0,196801041800,360,7,***,-2,*****
31,60.717,28.733,13.0,196801042100,360,2,***,-6,*****
32,60.717,28.733,13.0,196801050000,360,5,***,-2,*****
33,60.717,28.733,13.0,196801050300,020,5,***,-6,*****
34,60.717,28.733,13.0,196801050600,***,0,***,-11,*****
35,60.717,28.733,13.0,196801051200,***,0,***,-11,*****
36,60.717,28.733,13.0,196801051500,050,2,***,-8,*****
37,60.717,28.733,13.0,196801051800,***,0,***,-8,*****
38,60.717,28.733,13.0,196801052100,070,2,***,-8,*****
39,60.717,28.733,13.0,196801060000,***,0,***,-6,*****
40,60.717,28.733,13.0,196801060300,***,0,***,-6,*****
41,60.717,28.733,13.0,196801060600,***,0,***,-8,*****
42,60.717,28.733,13.0,196801060900,070,5,***,-8,*****
43,60.717,28.733,13.0,196801061200,***,0,***,-6,*****
44,60.717,28.733,13.0,196801061500,070,2,***,-6,*****
45,60.717,28.733,13.0,196801061800,070,2,***,-6,*****
46,60.717,28.733,13.0,196801062100,***,0,***,-11,*****
47,60.717,28.733,13.0,196801070000,***,0,***,-13,*****
48,60.717,28.733,13.0,196801070300,020,22,***,-4,*****
49,60.717,28.733,13.0,196801070600,020,2,***,-11,*****
50,60.717,28.733,13.0,196801070900,***,0,***,-11,*****
51,60.717,28.733,13.0,196801071200,***,0,***,-9,*****
52,60.717,28.733,13.0,196801071500,360,2,***,-11,*****
53,60.717,28.733,13.0,196801071800,050,2,***,-11,*****
54,60.717,28.733,13.0,196801072100,340,2,***,-11,*****
55,60.717,28.733,13.0,196801080000,***,0,***,-11,*****
56,60.717,28.733,13.0,196801080300,***,0,***,-15,*****
57,60.717,28.733,13.0,196801080600,340,2,***,-18,*****
58,60.717,28.733,13.0,196801080900,***,0,***,-18,*****
59,60.717,28.733,13.0,196801081200,***,0,***,-11,*****
